movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2024127
霸王别姬,2,9.6,1499795
阿甘正传,3,9.5,1532184
这个杀手不太冷,4,9.4,1724439
美丽人生,5,9.5,963599
泰坦尼克号,6,9.4,1482821
千与千寻,7,9.4,1586329
辛德勒的名单,8,9.5,781076
盗梦空间,9,9.3,1465414
忠犬八公的故事,10,9.4,1017538
海上钢琴师,11,9.3,1221776
楚门的世界,12,9.3,1089710
三傻大闹宝莱坞,13,9.2,1358024
机器人总动员,14,9.3,965704
放牛班的春天,15,9.3,945047
星际穿越,16,9.3,1093076
大话西游之大圣娶亲,17,9.2,1071919
熔炉,18,9.3,660261
疯狂动物城,19,9.2,1278650
无间道,20,9.2,873241
龙猫,21,9.2,908454
教父,22,9.3,663780
当幸福来敲门,23,9.1,1084715
怦然心动,24,9.1,1263404
触不可及,25,9.2,709409
蝙蝠侠：黑暗骑士,26,9.2,730429
控方证人,27,9.6,282748
活着,28,9.2,567673
乱世佳人,29,9.3,486343
寻梦环游记,30,9.1,1065439
末代皇帝,31,9.2,512347
摔跤吧！爸爸,32,9.0,1110518
指环王3：王者无敌,33,9.2,538072
何以为家,34,9.1,650006
少年派的奇幻漂流,35,9.1,1023070
飞屋环游记,36,9.0,954043
十二怒汉,37,9.4,323529
鬼子来了,38,9.2,439748
天空之城,39,9.1,605349
哈尔的移动城堡,40,9.1,695900
大话西游之月光宝盒,41,9.0,859066
素媛,42,9.2,441741
天堂电影院,43,9.2,474575
罗马假日,44,9.0,699570
闻香识女人,45,9.1,608019
辩护人,46,9.2,434902
哈利·波特与魔法石,47,9.0,660377
搏击俱乐部,48,9.0,629566
我不是药神,49,9.0,1487621
死亡诗社,50,9.1,497201
教父2,51,9.2,367101
指环王2：双塔奇兵,52,9.1,491869
狮子王,53,9.0,569631
大闹天宫,54,9.3,271406
窃听风暴,55,9.1,408789
指环王1：魔戒再现,56,9.0,553556
两杆大烟枪,57,9.1,436549
猫鼠游戏,58,9.0,563300
美丽心灵,59,9.0,538990
饮食男女,60,9.1,402725
钢琴家,61,9.2,367456
黑客帝国,62,9.0,552733
飞越疯人院,63,9.1,429389
V字仇杀队,64,8.9,756303
本杰明·巴顿奇事,65,8.9,703681
看不见的客人,66,8.8,827068
让子弹飞,67,8.8,1144713
西西里的美丽传说,68,8.9,691919
小鞋子,69,9.2,283634
拯救大兵瑞恩,70,9.0,455379
海豚湾,71,9.3,284051
情书,72,8.9,646344
穿条纹睡衣的男孩,73,9.1,350481
绿皮书,74,8.9,1065228
音乐之声,75,9.0,423251
美国往事,76,9.2,299084
海蒂和爷爷,77,9.2,267186
致命魔术,78,8.9,602880
低俗小说,79,8.8,596543
七宗罪,80,8.8,698939
沉默的羔羊,81,8.8,596386
蝴蝶效应,82,8.8,662254
禁闭岛,83,8.8,663847
春光乍泄,84,8.9,447553
心灵捕手,85,8.9,494896
被嫌弃的松子的一生,86,8.9,534263
布达佩斯大饭店,87,8.8,627933
阿凡达,88,8.7,947895
剪刀手爱德华,89,8.7,802058
摩登时代,90,9.3,197264
勇敢的心,91,8.9,443131
天使爱美丽,92,8.7,766712
喜剧之王,93,8.7,664022
致命ID,94,8.8,558554
加勒比海盗,95,8.7,629115
断背山,96,8.8,532984
杀人回忆,97,8.8,460619
哈利·波特与死亡圣器(下),98,8.8,528462
狩猎,99,9.1,249088
请以你的名字呼唤我,100,8.9,445930
幽灵公主,101,8.9,391431
阳光灿烂的日子,102,8.8,449673
入殓师,103,8.8,447765
小森林 夏秋篇,104,9.0,295685
重庆森林,105,8.7,567643
第六感,106,8.9,387548
7号房的礼物,107,8.9,366306
消失的爱人,108,8.7,637301
红辣椒,109,9.0,274053
小森林 冬春篇,110,9.0,260846
爱在黎明破晓前,111,8.8,419981
一一,112,9.0,250465
侧耳倾听,113,8.9,323768
唐伯虎点秋香,114,8.6,719260
玛丽和马克思,115,8.9,330344
超脱,116,8.9,328542
倩女幽魂,117,8.7,509752
告白,118,8.7,533577
蝙蝠侠：黑暗骑士崛起,119,8.8,506853
大鱼,120,8.8,418779
阳光姐妹淘,121,8.8,454243
甜蜜蜜,122,8.8,369212
射雕英雄传之东成西就,123,8.7,465650
萤火之森,124,8.9,348829
驯龙高手,125,8.7,541592
无人知晓,126,9.1,190530
超能陆战队,127,8.7,700787
幸福终点站,128,8.8,384420
借东西的小人阿莉埃蒂,129,8.8,382804
菊次郎的夏天,130,8.8,362267
爱在日落黄昏时,131,8.8,356814
恐怖直播,132,8.8,446008
完美的世界,133,9.1,178213
神偷奶爸,134,8.6,699497
怪兽电力公司,135,8.7,456539
玩具总动员3,136,8.8,354329
功夫,137,8.6,665689
血战钢锯岭,138,8.7,574509
风之谷,139,8.9,279545
傲慢与偏见,140,8.6,541764
人生果实,141,9.5,92622
时空恋旅人,142,8.7,389590
上帝之城,143,8.9,229129
教父3,144,8.9,244336
天书奇谭,145,9.2,144473
电锯惊魂,146,8.7,354255
喜宴,147,8.9,238668
英雄本色,148,8.7,355314
被解救的姜戈,149,8.7,434732
谍影重重3,150,8.8,306535
岁月神偷,151,8.7,455540
七武士,152,9.2,133001
哪吒闹海,153,9.1,173331
我是山姆,154,8.9,212973
头号玩家,155,8.7,1007737
疯狂原始人,156,8.7,616639
纵横四海,157,8.8,287369
釜山行,158,8.5,795261
三块广告牌,159,8.7,602154
心迷宫,160,8.7,346273
达拉斯买家俱乐部,161,8.8,321726
萤火虫之墓,162,8.7,318946
真爱至上,163,8.6,520608
荒蛮故事,164,8.8,295744
贫民窟的百万富翁,165,8.6,570144
东邪西毒,166,8.6,432671
哈利·波特与阿兹卡班的囚徒,167,8.7,390257
记忆碎片,168,8.6,437857
你的名字。,169,8.4,975529
爆裂鼓手,170,8.7,394589
卢旺达饭店,171,8.9,206956
花样年华,172,8.6,403765
黑天鹅,173,8.6,631346
忠犬八公物语,174,9.2,130755
黑客帝国3：矩阵革命,175,8.7,295130
模仿游戏,176,8.7,430300
一个叫欧维的男人决定去死,177,8.8,258228
头脑特工队,178,8.7,415294
哈利·波特与密室,179,8.6,409192
雨人,180,8.7,307099
你看起来好像很好吃,181,8.9,245887
未麻的部屋,182,8.9,185800
无敌破坏王,183,8.7,378634
新世界,184,8.8,229731
