movie_name,ranking,score,score_num
福尔摩斯二世,1,9.5,12379
这个杀手不太冷,2,9.4,1724812
蝙蝠侠：黑暗骑士,3,9.2,730576
指环王3：王者无敌,4,9.2,538177
七武士,5,9.2,133039
指环王2：双塔奇兵,6,9.1,491950
将军号,7,9.1,16407
搏击俱乐部,8,9.0,629643
指环王1：魔戒再现,9,9.0,553716
黑客帝国,10,9.0,552878
攻壳机动队,11,9.0,94058
赛文奥特曼 我是地球人,12,9.0,1313
V字仇杀队,13,8.9,756459
勇敢的心,14,8.9,443205
乱,15,8.9,57823
用心棒,16,8.9,26997
让子弹飞,17,8.8,1145015
蝙蝠侠：黑暗骑士崛起,18,8.8,506934
杀人回忆,19,8.8,460756
谍影重重3,20,8.8,306582
纵横四海,21,8.8,287433
黑客帝国动画版,22,8.8,40206
蝙蝠侠：黑暗骑士归来(下),23,8.8,23571
桥,24,8.8,17079
头号玩家,25,8.7,1007902
阿凡达,26,8.7,948043
超能陆战队,27,8.7,700984
加勒比海盗,28,8.7,629219
被解救的姜戈,29,8.7,434764
英雄本色,30,8.7,355389
黑客帝国3：矩阵革命,31,8.7,295198
谍影重重2,32,8.7,258878
终结者2：审判日,33,8.7,251042
黑鹰坠落,34,8.7,208258
枪火,35,8.7,155511
东邪西毒：终极版,36,8.7,142344
精英部队2：大敌当前,37,8.7,63507
椿三十郎,38,8.7,16058
西线无战事,39,8.7,12077
铁达尼号沉没记,40,8.7,5262
岁城璃心-鬼蜮咒原,41,8.7,1029
功夫,42,8.6,665913
蜘蛛侠：平行宇宙,43,8.6,471104
东邪西毒,44,8.6,432715
疯狂的麦克斯4：狂暴之路,45,8.6,365795
新龙门客栈,46,8.6,315338
谍影重重,47,8.6,309332
黑客帝国2：重装上阵,48,8.6,253937
勇闯夺命岛,49,8.6,204884
启示,50,8.6,62097
恶童,51,8.6,57389
宾虚,52,8.6,26338
正义联盟：闪点悖论,53,8.6,20901
敲开天堂的门,54,8.6,11950
兽兵卫忍风帖,55,8.6,8150
大菩萨岭,56,8.6,7995
碧血金沙,57,8.6,5792
落叶,58,8.6,5296
滑铁卢战役,59,8.6,1520
复仇者联盟4：终局之战,60,8.5,839997
釜山行,61,8.5,795389
变脸,62,8.5,315190
无间道2,63,8.5,279374
神探,64,8.5,179460
暗战,65,8.5,171540
